Id,Delay
984,2705.12210414
985,2752.80403461
986,3970.41340154
987,3692.55423229
988,3605.55275957
989,3603.68678319
990,2489.6081735
991,5036.05356409
992,2189.77865371
993,4268.46119996
994,1501.47022237
995,1109.3603476
996,5063.58790796
997,2582.5510099
998,2594.98026005
999,5286.77443484
1000,2256.93253778
